턺	箸
텀	節
텁	範
텃	篇
텄	築
텅	篠
테	篤
텍	篭
텐	簑
텔	簡
템	簪
텝	簸
텟	簾
텡	簿
텨	籍
텬	米
텼	籾
톄	粁
톈	粂
토	粉
톡	粋
톤	粍
톨	粒
톰	粕
톱	粗
톳	粘
통	粛
톺	粟
톼	粥
퇀	粧
퇘	精
퇴	糊
퇸	糎
툇	糖
툉	糞
툐	糟
투	糠
툭	糧
툰	糸
툴	系
툼	糾
툽	紀
툿	約
퉁	紅
퉈	紋
퉜	納
퉤	紐
튀	純
튁	紗
튄	紘
튈	紙
튐	級
튑	紛
튕	素
튜	紡
튠	索
튤	紫
튬	紬
튱	累
트	細
특	紳
튼	紹
튿	紺
틀	終
틂	絃
틈	組
틉	絆
틋	経
틔	結
틘	絞
틜	絡
틤	絢
틥	給
티	統
틱	絵
틴	絶
틸	絹
팀	継
팁	続
팃	綜
팅	綬
파	維
팍	綱
팎	網
판	綴
팔	綺
팖	綻
팜	綾
팝	綿
팟	緊
팠	緋
팡	総
팥	緑
패	緒
팩	線
팬	締
팰	編
팸	緩
팹	緬
팻	緯
팼	練
팽	縁
퍄	縄
퍅	縛
퍼	縞
퍽	縣
펀	縦
펄	縫
펌	縮
펍	績
펏	繁
펐	繊
펑	繋
페	繍
펙	織
펜	繕
펠	繭
펨	繰
펩	纂
펫	纏
펭	缶
펴	罠
편	罪
펼	罫
폄	置
폅	罰
폈	署
평	罵
폐	罷
폘	羅
폡	羊
폣	美
포	羚
폭	群
폰	羨
폴	義
폼	羽
폽	羿
폿	翁
퐁	翌
퐈	習
퐝	翔
푀	翠
푄	翫
표	翰
푠	翳
푤	翻
푭	翼
푯	耀
푸	老
푹	考
푼	者
푿	而
풀	耐
풂	耕
품	耗
풉	耳
풋	耶
풍	耽
풔	聖
풩	聞
퓌	聡
퓐	聯
퓔	聴
퓜	職
퓟	聾
퓨	肆
퓬	肇
퓰	肉
퓸	肋
퓻	肌
퓽	肖
프	肘
픈	肝
플	股
픔	肢
픕	肥
픗	肩
피	肪
픽	肯
핀	肱
필	育
핌	肴
핍	肺
핏	胃
핑	胆
하	背
학	胎
한	胞
할	胡
핥	胤
함	胴
합	胸
핫	能
항	脂
해	脅
핵	脆
핸	脇
핼	脈
햄	脊
햅	脚
햇	脩
했	脱
행	脳
햐	脹
향	腎
허	腐
헉	腔
헌	腕
헐	腫
헒	腰
험	腱
헙	腸
헛	腹
헝	腺
헤	腿
헥	膏
헨	膚
헬	膜
헴	膝
헵	膨
헷	膳
헹	膿
혀	臆
혁	臓
현	臣
혈	臥
혐	臨
협	自
혓	臭
혔	至
형	致
혜	臺
혠	臼
혤	與
혭	興
호	舌
혹	舎
혼	舗
홀	舘
홅	舛
홈	舜
홉	舞
홋	舟
홍	舩
홑	航
화	般
확	舵
환	舶
활	舷
홧	船
황	艇
홰	艦
홱	艮
홴	良
횃	色
횅	艶
회	芋
획	芙
횐	芝
횔	芥
횝	芦
횟	芭
횡	芯
효	花
횬	芳
횰	芸
횹	芹
횻	芻
후	芽
훅	苅
훈	苑
훌	苓
훑	苔
훔	苗
훗	苛
훙	若
훠	苦
훤	苧
훨	苫
훰	英
훵	茂
훼	茄
훽	茅
휀	茈
휄	茉
휑	茎
휘	茜
휙	茨
휜	茶
휠	茸
휨	草
휩	荊
휫	荏
휭	荒
휴	荘
휵	荷
휸	荻
휼	莉
흄	莞
흇	莫
흉	莱
흐	菅
흑	菊
흔	菌
흖	菓
흗	菖
흘	菜
흙	菟
흠	菩
흡	華
흣	菰
흥	菱
흩	萄
희	萌
흰	萎
흴	萩
흼	萬
흽	萱
힁	落
히	葉
힉	葎
힌	著
힐	葛
힘	葡
힙	董
힛	葦
힝	葬
